
 ===================new run===================== 
Planetary albedo for an optical thickness of 2.100 and an cos(SZA) of 0.50: 0.310993 
rdir 0.239544, sdir 0.227865, and tdir 0.532592 
sum: 1.000000 
solar irradiance: 234.434686 
layer,player,Tlayer,theta,time
1,75.000000,211.606651,443.547751,423.937805
2,125.000000,213.351888,386.475707,423.937805
3,175.000000,211.470089,347.955568,423.937805
4,225.000000,209.544610,320.898143,423.937805
5,275.000000,210.830916,304.877204,423.937805
6,325.000000,218.029436,300.591731,423.937805
7,375.000000,226.911826,300.304945,423.937805
8,425.000000,234.881016,299.931796,423.937805
9,475.000000,242.135597,299.524185,423.937805
10,525.000000,248.823026,299.119724,423.937805
11,575.000000,255.006668,298.688063,423.937805
12,625.000000,260.774233,298.252897,423.937805
13,675.000000,266.181344,297.815957,423.937805
14,725.000000,271.289144,297.396492,423.937805
15,775.000000,276.135768,296.996103,423.937805
16,825.000000,280.758998,296.622427,423.937805
17,875.000000,285.148810,296.237948,423.937805
18,925.000000,289.359719,295.877448,423.937805
19,975.000000,293.372192,295.502040,423.937805
0,25.000000,200.094444,574.072120,494.661163
1,75.000000,210.339411,440.891496,494.661163
2,125.000000,212.180551,384.353892,494.661163
3,175.000000,210.105849,345.710831,494.661163
4,225.000000,208.066009,318.633803,494.661163
5,275.000000,209.598150,303.094534,494.661163
6,325.000000,217.654929,300.075407,494.661163
7,375.000000,226.508564,299.771250,494.661163
8,425.000000,234.467390,299.403615,494.661163
9,475.000000,241.709623,298.997251,494.661163
10,525.000000,248.377274,298.583869,494.661163
11,575.000000,254.530030,298.129780,494.661163
12,625.000000,260.256978,297.661302,494.661163
13,675.000000,265.622150,297.190305,494.661163
14,725.000000,270.700228,296.750902,494.661163
15,775.000000,275.539244,296.354515,494.661163
16,825.000000,280.173952,296.004325,494.661163
17,875.000000,284.587734,295.655052,494.661163
18,925.000000,288.820849,295.326440,494.661163
19,975.000000,292.848919,294.974969,494.661163
0,25.000000,198.330108,569.010231,564.618530
1,75.000000,209.106644,438.307499,564.618530
2,125.000000,211.029268,382.268404,564.618530
3,175.000000,208.815598,343.587835,564.618530
4,225.000000,206.727696,316.584300,564.618530
5,275.000000,208.542317,301.567721,564.618530
6,325.000000,217.302652,299.589732,564.618530
7,375.000000,226.110169,299.243997,564.618530
8,425.000000,234.035924,298.852654,564.618530
9,475.000000,241.248178,298.426438,564.618530
10,525.000000,247.894277,298.003240,564.618530
11,575.000000,254.038372,297.553903,564.618530
12,625.000000,259.768910,297.103089,564.618530
13,675.000000,265.145292,296.656775,564.618530
14,725.000000,270.235457,296.241404,564.618530
15,775.000000,275.083103,295.863915,564.618530
16,825.000000,279.721860,295.526688,564.618530
17,875.000000,284.135902,295.185649,564.618530
18,925.000000,288.364412,294.859722,564.618530
19,975.000000,292.382518,294.505182,564.618530
0,25.000000,196.765195,564.520485,633.960876
1,75.000000,207.918259,435.816529,633.960876
2,125.000000,209.905502,380.232761,633.960876
3,175.000000,207.595431,341.580157,633.960876
4,225.000000,205.511006,314.721051,633.960876
5,275.000000,207.622672,300.237846,633.960876
6,325.000000,216.939033,299.088419,633.960876
7,375.000000,225.720035,298.727676,633.960876
8,425.000000,233.638848,298.345607,633.960876
9,475.000000,240.850482,297.934485,633.960876
10,525.000000,247.498549,297.527519,633.960876
11,575.000000,253.644599,297.092678,633.960876
12,625.000000,259.375015,296.652583,633.960876
13,675.000000,264.748182,296.212470,633.960876
14,725.000000,269.830998,295.798023,633.960876
15,775.000000,274.666504,295.415844,633.960876
16,825.000000,279.288367,295.068703,633.960876
17,875.000000,283.682972,294.715105,633.960876
18,925.000000,287.892025,294.376695,633.960876
19,975.000000,291.895058,294.014183,633.960876
0,25.000000,195.362515,560.496190,702.711731
1,75.000000,206.779845,433.430306,702.711731
2,125.000000,208.815457,378.258201,702.711731
3,175.000000,206.442495,339.683102,702.711731
4,225.000000,204.400153,313.019884,702.711731
5,275.000000,206.808654,299.060714,702.711731
6,325.000000,216.635326,298.669705,702.711731
7,375.000000,225.398217,298.301769,702.711731
8,425.000000,233.309049,297.924470,702.711731
9,475.000000,240.511888,297.515641,702.711731
10,525.000000,247.149165,297.107512,702.711731
11,575.000000,253.282267,296.668281,702.711731
12,625.000000,258.997684,296.221022,702.711731
13,675.000000,264.354921,295.772471,702.711731
14,725.000000,269.422628,295.350353,702.711731
15,775.000000,274.246052,294.963630,702.711731
16,825.000000,278.860497,294.616657,702.711731
17,875.000000,283.253356,294.268782,702.711731
18,925.000000,287.464863,293.939911,702.711731
19,975.000000,291.473239,293.589302,702.711731
0,25.000000,194.122523,556.938644,770.234680
1,75.000000,205.714988,431.198262,770.234680
2,125.000000,207.782780,376.387562,770.234680
3,175.000000,205.369068,337.916872,770.234680
4,225.000000,203.402515,311.492094,770.234680
5,275.000000,206.269082,298.280454,770.234680
6,325.000000,216.298050,298.204712,770.234680
7,375.000000,225.038489,297.825689,770.234680
8,425.000000,232.930717,297.441357,770.234680
9,475.000000,240.117735,297.028069,770.234680
10,525.000000,246.773084,296.655410,770.234680
11,575.000000,252.913329,296.236146,770.234680
12,625.000000,258.625795,295.795684,770.234680
13,675.000000,263.981882,295.355098,770.234680
14,725.000000,269.051514,294.943526,770.234680
15,775.000000,273.876872,294.566561,770.234680
16,825.000000,278.490872,294.226148,770.234680
17,875.000000,282.882336,293.883333,770.234680
18,925.000000,287.089427,293.556019,770.234680
19,975.000000,291.091663,293.204955,770.234680
0,25.000000,192.988629,553.685497,837.308960
1,75.000000,204.698389,429.067373,837.308960
2,125.000000,206.787399,374.584481,837.308960
3,175.000000,204.357325,336.252136,837.308960
4,225.000000,202.518024,310.137577,837.308960
5,275.000000,205.989846,297.876658,837.308960
6,325.000000,216.002227,297.796867,837.308960
7,375.000000,224.736058,297.425439,837.308960
8,425.000000,232.622130,297.047306,837.308960
9,475.000000,239.800716,296.635914,837.308960
10,525.000000,246.420743,296.231848,837.308960
11,575.000000,252.543106,295.802505,837.308960
12,625.000000,258.250825,295.366824,837.308960
13,675.000000,263.602956,294.931139,837.308960
14,725.000000,268.666959,294.521963,837.308960
15,775.000000,273.485114,294.145207,837.308960
16,825.000000,278.091426,293.804133,837.308960
17,875.000000,282.476002,293.461198,837.308960
18,925.000000,286.678810,293.136152,837.308960
19,975.000000,290.683093,292.793419,837.308960
0,25.000000,191.945941,550.694019,903.889587
1,75.000000,203.729687,427.036883,903.889587
2,125.000000,205.831646,372.853185,903.889587
3,175.000000,203.406860,334.688229,903.889587
4,225.000000,201.729661,308.930273,903.889587
5,275.000000,205.733924,297.506576,903.889587
6,325.000000,215.717260,297.403991,903.889587
7,375.000000,224.436070,297.028421,903.889587
8,425.000000,232.311234,296.650308,903.889587
9,475.000000,239.480534,296.239846,903.889587
10,525.000000,246.091640,295.836221,903.889587
11,575.000000,252.205966,295.407614,903.889587
12,625.000000,257.907177,294.973786,903.889587
13,675.000000,263.255586,294.542485,903.889587
14,725.000000,268.319476,294.141040,903.889587
15,775.000000,273.140273,293.774316,903.889587
16,825.000000,277.749090,293.442454,903.889587
17,875.000000,282.134027,293.105924,903.889587
18,925.000000,286.332871,292.782422,903.889587
19,975.000000,290.328075,292.435823,903.889587
0,25.000000,190.981693,547.927584,970.053650
1,75.000000,202.807125,425.103104,970.053650
2,125.000000,204.915709,371.194014,970.053650
3,175.000000,202.514183,333.219407,970.053650
4,225.000000,201.019997,307.843488,970.053650
