layer, player, Tlayer, theta, time
3, 175.000000, 192.857864, 317.330777, 139.049179 
4, 225.000000, 196.160767, 300.402028, 139.049179 
5, 275.000000, 199.894201, 289.061900, 139.049179 
6, 325.000000, 205.806919, 283.740851, 139.049179 
7, 375.000000, 214.080759, 283.323754, 139.049179 
8, 425.000000, 221.439212, 282.767257, 139.049179 
9, 475.000000, 228.183939, 282.265842, 139.049179 
10, 525.000000, 234.612100, 282.036224, 139.049179 
11, 575.000000, 240.326686, 281.493472, 139.049179 
12, 625.000000, 245.705498, 281.018473, 139.049179 
13, 675.000000, 250.824281, 280.633767, 139.049179 
14, 725.000000, 255.707530, 280.315391, 139.049179 
15, 775.000000, 260.346853, 280.014434, 139.049179 
16, 825.000000, 264.765336, 279.725092, 139.049179 
17, 875.000000, 268.992400, 279.453232, 139.049179 
18, 925.000000, 273.026309, 279.176134, 139.049179 
19, 975.000000, 276.852151, 278.862066, 139.049179 
0, 25.000000, 176.147188, 505.367303, 168.019089 
1, 75.000000, 184.772762, 387.301357, 168.019089 
2, 125.000000, 189.188506, 342.705014, 168.019089 
3, 175.000000, 192.428832, 316.624842, 168.019089 
4, 225.000000, 195.453822, 299.319407, 168.019089 
5, 275.000000, 199.148192, 287.983116, 168.019089 
6, 325.000000, 206.148595, 284.211911, 168.019089 
7, 375.000000, 214.514376, 283.897622, 168.019089 
8, 425.000000, 222.031009, 283.522953, 168.019089 
9, 475.000000, 228.907427, 283.160805, 168.019089 
10, 525.000000, 235.225942, 282.774147, 168.019089 
11, 575.000000, 241.056368, 282.348145, 168.019089 
12, 625.000000, 246.462113, 281.883829, 168.019089 
13, 675.000000, 251.502488, 281.392577, 168.019089 
14, 725.000000, 256.298895, 280.963666, 168.019089 
15, 775.000000, 260.934455, 280.646425, 168.019089 
16, 825.000000, 265.240757, 280.227375, 168.019089 
17, 875.000000, 269.365903, 279.841261, 168.019089 
18, 925.000000, 273.363045, 279.520455, 168.019089 
19, 975.000000, 277.228500, 279.241147, 168.019089 
0, 25.000000, 175.633723, 503.894170, 197.121185 
1, 75.000000, 184.680248, 387.107438, 197.121185 
2, 125.000000, 189.023027, 342.405257, 197.121185 
3, 175.000000, 192.006937, 315.930652, 197.121185 
4, 225.000000, 194.786175, 298.296968, 197.121185 
5, 275.000000, 198.522768, 287.078707, 197.121185 
6, 325.000000, 206.572576, 284.796445, 197.121185 
7, 375.000000, 214.863260, 284.359350, 197.121185 
8, 425.000000, 222.318487, 283.890049, 197.121185 
9, 475.000000, 229.172556, 283.488772, 197.121185 
10, 525.000000, 235.524733, 283.133335, 197.121185 
11, 575.000000, 241.438833, 282.796124, 197.121185 
12, 625.000000, 246.963556, 282.457340, 197.121185 
13, 675.000000, 252.148945, 282.115862, 197.121185 
14, 725.000000, 257.035368, 281.771013, 197.121185 
15, 775.000000, 261.643932, 281.409498, 197.121185 
16, 825.000000, 265.998815, 281.028265, 197.121185 
17, 875.000000, 270.130010, 280.635083, 197.121185 
18, 925.000000, 274.069928, 280.243260, 197.121185 
19, 975.000000, 277.867106, 279.884390, 197.121185 
0, 25.000000, 175.150633, 502.508181, 226.533722 
1, 75.000000, 184.577457, 386.891978, 226.533722 
2, 125.000000, 188.851542, 342.094622, 226.533722 
3, 175.000000, 191.592693, 315.249048, 226.533722 
4, 225.000000, 194.158443, 297.335654, 226.533722 
5, 275.000000, 198.014850, 286.344219, 226.533722 
6, 325.000000, 207.119285, 285.550178, 226.533722 
7, 375.000000, 215.419329, 285.095275, 226.533722 
8, 425.000000, 222.881806, 284.609380, 226.533722 
9, 475.000000, 229.705223, 284.147686, 226.533722 
10, 525.000000, 236.011115, 283.718034, 226.533722 
11, 575.000000, 241.880911, 283.313929, 226.533722 
12, 625.000000, 247.342741, 282.891022, 226.533722 
13, 675.000000, 252.471731, 282.477011, 226.533722 
14, 725.000000, 257.342738, 282.107962, 226.533722 
15, 775.000000, 261.989462, 281.781131, 226.533722 
16, 825.000000, 266.429056, 281.482816, 226.533722 
17, 875.000000, 270.674790, 281.201049, 226.533722 
18, 925.000000, 274.730771, 280.918988, 226.533722 
19, 975.000000, 278.598782, 280.621378, 226.533722 
0, 25.000000, 174.694593, 501.199801, 256.319397 
1, 75.000000, 184.465357, 386.657007, 256.319397 
2, 125.000000, 188.674477, 341.773877, 256.319397 
3, 175.000000, 191.186967, 314.581462, 256.319397 
4, 225.000000, 193.572000, 296.437571, 256.319397 
5, 275.000000, 197.731852, 285.934983, 256.319397 
6, 325.000000, 207.270715, 285.758950, 256.319397 
7, 375.000000, 215.742189, 285.522563, 256.319397 
8, 425.000000, 223.296525, 285.138956, 256.319397 
9, 475.000000, 230.207727, 284.769290, 256.319397 
10, 525.000000, 236.573724, 284.394368, 256.319397 
11, 575.000000, 242.467367, 284.000841, 256.319397 
12, 625.000000, 247.945207, 283.580074, 256.319397 
13, 675.000000, 253.068776, 283.145011, 256.319397 
14, 725.000000, 257.903795, 282.723013, 256.319397 
15, 775.000000, 262.500435, 282.330705, 256.319397 
