layer, player, Tlayer, theta, time
0, 25.000000, 180.000000, 516.421044, 0.000000 
1, 75.000000, 185.000000, 387.777669, 0.000000 
2, 125.000000, 190.000000, 344.174992, 0.000000 
3, 175.000000, 195.000000, 320.855475, 0.000000 
4, 225.000000, 200.000000, 306.281457, 0.000000 
5, 275.000000, 205.000000, 296.445266, 0.000000 
6, 325.000000, 210.000000, 289.521748, 0.000000 
7, 375.000000, 215.000000, 284.540318, 0.000000 
8, 425.000000, 220.000000, 280.929452, 0.000000 
9, 475.000000, 225.000000, 278.327278, 0.000000 
10, 525.000000, 230.419775, 276.996469, 0.000000 
11, 575.000000, 236.056515, 276.491841, 0.000000 
12, 625.000000, 241.389047, 276.081658, 0.000000 
13, 675.000000, 246.062057, 275.305572, 0.000000 
14, 725.000000, 251.090780, 275.254351, 0.000000 
15, 775.000000, 255.396866, 274.690505, 0.000000 
16, 825.000000, 259.813035, 274.492977, 0.000000 
17, 875.000000, 263.997089, 274.263659, 0.000000 
18, 925.000000, 268.078907, 274.117293, 0.000000 
19, 975.000000, 272.083307, 274.058600, 0.000000 
0, 25.000000, 179.344806, 514.541289, 28.721664 
1, 75.000000, 185.029732, 387.839991, 28.721664 
2, 125.000000, 189.898796, 343.991666, 28.721664 
3, 175.000000, 194.565955, 320.141292, 28.721664 
4, 225.000000, 199.170729, 305.011506, 28.721664 
5, 275.000000, 203.829878, 294.753182, 28.721664 
6, 325.000000, 208.660059, 287.674405, 28.721664 
7, 375.000000, 213.781527, 282.927737, 28.721664 
8, 425.000000, 219.082903, 279.758363, 28.721664 
9, 475.000000, 225.579402, 279.044004, 28.721664 
10, 525.000000, 231.898270, 278.773824, 28.721664 
11, 575.000000, 237.798012, 278.531648, 28.721664 
12, 625.000000, 243.353126, 278.328016, 28.721664 
13, 675.000000, 248.430904, 277.955946, 28.721664 
14, 725.000000, 252.681423, 276.998068, 28.721664 
15, 775.000000, 256.547742, 275.928323, 28.721664 
16, 825.000000, 260.613267, 275.338423, 28.721664 
17, 875.000000, 264.597170, 274.887076, 28.721664 
18, 925.000000, 268.371896, 274.416882, 28.721664 
19, 975.000000, 272.181761, 274.157770, 28.721664 
0, 25.000000, 178.747325, 512.827113, 56.252831 
1, 75.000000, 185.025589, 387.831306, 56.252831 
2, 125.000000, 189.781745, 343.779634, 56.252831 
3, 175.000000, 194.140801, 319.441738, 56.252831 
4, 225.000000, 198.386280, 303.810195, 56.252831 
5, 275.000000, 202.749576, 293.190985, 56.252831 
6, 325.000000, 207.457325, 286.016226, 56.252831 
7, 375.000000, 212.734823, 281.542484, 56.252831 
8, 425.000000, 219.497102, 280.287275, 56.252831 
9, 475.000000, 226.054952, 279.632265, 56.252831 
10, 525.000000, 232.186410, 279.120209, 56.252831 
11, 575.000000, 237.967367, 278.730013, 56.252831 
12, 625.000000, 243.526733, 278.526574, 56.252831 
13, 675.000000, 248.638434, 278.188141, 56.252831 
14, 725.000000, 253.443740, 277.833746, 56.252831 
15, 775.000000, 258.059151, 277.553909, 56.252831 
16, 825.000000, 262.488347, 277.319449, 56.252831 
17, 875.000000, 266.700532, 277.072236, 56.252831 
18, 925.000000, 270.540657, 276.634493, 56.252831 
19, 975.000000, 273.898224, 275.886694, 56.252831 
0, 25.000000, 178.176803, 511.190280, 84.704819 
1, 75.000000, 185.011115, 387.800968, 84.704819 
2, 125.000000, 189.656960, 343.553594, 84.704819 
3, 175.000000, 193.706908, 318.727806, 84.704819 
4, 225.000000, 197.599928, 302.605969, 84.704819 
5, 275.000000, 201.690401, 291.659339, 84.704819 
6, 325.000000, 206.356085, 284.497973, 84.704819 
7, 375.000000, 212.911364, 281.776126, 84.704819 
8, 425.000000, 220.446146, 281.499160, 84.704819 
9, 475.000000, 227.282182, 281.150361, 84.704819 
10, 525.000000, 233.480023, 280.675311, 84.704819 
11, 575.000000, 239.279784, 280.267241, 84.704819 
12, 625.000000, 244.610545, 279.766152, 84.704819 
13, 675.000000, 249.357853, 278.993060, 84.704819 
14, 725.000000, 253.929657, 278.366426, 84.704819 
15, 775.000000, 258.373429, 277.891930, 84.704819 
16, 825.000000, 262.709896, 277.553516, 84.704819 
17, 875.000000, 266.943328, 277.324474, 84.704819 
18, 925.000000, 270.961091, 277.064398, 84.704819 
19, 975.000000, 274.798014, 276.793016, 84.704819 
0, 25.000000, 177.637936, 509.644269, 113.494576 
1, 75.000000, 184.981238, 387.738342, 113.494576 
2, 125.000000, 189.522708, 343.310403, 113.494576 
3, 175.000000, 193.271421, 318.011250, 113.494576 
