layer, player, Tlayer, theta, time
0, 25.000000, 180.000000, 516.421044, 0.000000 
1, 75.000000, 185.000000, 387.777669, 0.000000 
2, 125.000000, 190.000000, 344.174992, 0.000000 
3, 175.000000, 195.000000, 320.855475, 0.000000 
4, 225.000000, 200.000000, 306.281457, 0.000000 
5, 275.000000, 205.000000, 296.445266, 0.000000 
6, 325.000000, 210.000000, 289.521748, 0.000000 
7, 375.000000, 215.000000, 284.540318, 0.000000 
8, 425.000000, 220.000000, 280.929452, 0.000000 
9, 475.000000, 225.000000, 278.327278, 0.000000 
10, 525.000000, 230.419775, 276.996469, 0.000000 
11, 575.000000, 236.056515, 276.491841, 0.000000 
12, 625.000000, 241.389047, 276.081658, 0.000000 
13, 675.000000, 246.062057, 275.305572, 0.000000 
14, 725.000000, 251.090780, 275.254351, 0.000000 
15, 775.000000, 255.396866, 274.690505, 0.000000 
16, 825.000000, 259.813035, 274.492977, 0.000000 
17, 875.000000, 263.997089, 274.263659, 0.000000 
18, 925.000000, 268.078907, 274.117293, 0.000000 
19, 975.000000, 272.083307, 274.058600, 0.000000 
0, 25.000000, 179.497048, 514.978073, 29.672232 
1, 75.000000, 185.036886, 387.854986, 29.672232 
2, 125.000000, 189.897562, 343.989432, 29.672232 
3, 175.000000, 194.556182, 320.125212, 29.672232 
4, 225.000000, 199.148411, 304.977327, 29.672232 
5, 275.000000, 203.795406, 294.703333, 29.672232 
6, 325.000000, 208.616968, 287.614997, 29.672232 
7, 375.000000, 213.738838, 282.871241, 29.672232 
8, 425.000000, 219.037769, 279.700729, 29.672232 
9, 475.000000, 225.519582, 278.970007, 29.672232 
10, 525.000000, 231.845125, 278.709937, 29.672232 
11, 575.000000, 237.750396, 278.475877, 29.672232 
12, 625.000000, 243.309978, 278.278667, 29.672232 
13, 675.000000, 248.384989, 277.904575, 29.672232 
14, 725.000000, 252.618329, 276.928902, 29.672232 
15, 775.000000, 256.472938, 275.847868, 29.672232 
16, 825.000000, 260.532209, 275.252785, 29.672232 
17, 875.000000, 264.510732, 274.797277, 29.672232 
18, 925.000000, 268.281022, 274.323961, 29.672232 
19, 975.000000, 272.091166, 274.066517, 29.672232 
0, 25.000000, 179.032828, 513.646221, 57.993294 
1, 75.000000, 185.044179, 387.870273, 57.993294 
2, 125.000000, 189.780066, 343.776593, 57.993294 
3, 175.000000, 194.123175, 319.412737, 57.993294 
4, 225.000000, 198.345757, 303.748137, 57.993294 
5, 275.000000, 202.686979, 293.100465, 57.993294 
6, 325.000000, 207.379165, 285.908468, 57.993294 
7, 375.000000, 212.653848, 281.435318, 57.993294 
8, 425.000000, 219.380756, 280.138707, 57.993294 
9, 475.000000, 225.939021, 279.488856, 57.993294 
10, 525.000000, 232.072046, 278.982727, 57.993294 
11, 575.000000, 237.869408, 278.615275, 57.993294 
12, 625.000000, 243.408939, 278.391850, 57.993294 
13, 675.000000, 248.517802, 278.053173, 57.993294 
14, 725.000000, 253.320265, 277.698389, 57.993294 
15, 775.000000, 257.932916, 277.418138, 57.993294 
16, 825.000000, 262.358283, 277.182036, 57.993294 
17, 875.000000, 266.566119, 276.932596, 57.993294 
18, 925.000000, 270.398093, 276.488719, 57.993294 
19, 975.000000, 273.742592, 275.729932, 57.993294 
0, 25.000000, 178.587643, 512.368982, 87.286110 
1, 75.000000, 185.046804, 387.875776, 87.286110 
2, 125.000000, 189.656106, 343.552046, 87.286110 
3, 175.000000, 193.681182, 318.685475, 87.286110 
4, 225.000000, 197.539996, 302.514189, 87.286110 
5, 275.000000, 201.597783, 291.525407, 87.286110 
6, 325.000000, 206.236848, 284.333584, 87.286110 
7, 375.000000, 212.753631, 281.567375, 87.286110 
8, 425.000000, 220.288065, 281.297298, 87.286110 
9, 475.000000, 227.125331, 280.956334, 87.286110 
10, 525.000000, 233.322194, 280.485578, 87.286110 
11, 575.000000, 239.136246, 280.099115, 87.286110 
12, 625.000000, 244.441994, 279.573377, 87.286110 
13, 675.000000, 249.176260, 278.789885, 87.286110 
14, 725.000000, 253.740765, 278.159355, 87.286110 
15, 775.000000, 258.179638, 277.683498, 87.286110 
16, 825.000000, 262.514269, 277.346835, 87.286110 
17, 875.000000, 266.732825, 277.105785, 87.286110 
18, 925.000000, 270.741504, 276.839864, 87.286110 
19, 975.000000, 274.573913, 276.567288, 87.286110 
0, 25.000000, 178.164326, 511.154483, 116.910347 
1, 75.000000, 185.038238, 387.857819, 116.910347 
2, 125.000000, 189.523778, 343.312340, 116.910347 
3, 175.000000, 193.237755, 317.955855, 116.910347 
