layer, player, Tlayer, theta, time
0, 25.000000, 180.000000, 516.421044, 0.000000 
1, 75.000000, 185.000000, 387.777669, 0.000000 
2, 125.000000, 190.000000, 344.174992, 0.000000 
3, 175.000000, 195.000000, 320.855475, 0.000000 
4, 225.000000, 200.000000, 306.281457, 0.000000 
5, 275.000000, 205.000000, 296.445266, 0.000000 
6, 325.000000, 210.000000, 289.521748, 0.000000 
7, 375.000000, 215.000000, 284.540318, 0.000000 
8, 425.000000, 220.000000, 280.929452, 0.000000 
9, 475.000000, 225.000000, 278.327278, 0.000000 
10, 525.000000, 230.419775, 276.996469, 0.000000 
11, 575.000000, 236.056515, 276.491841, 0.000000 
12, 625.000000, 241.389047, 276.081658, 0.000000 
13, 675.000000, 246.062057, 275.305572, 0.000000 
14, 725.000000, 251.090780, 275.254351, 0.000000 
15, 775.000000, 255.396866, 274.690505, 0.000000 
16, 825.000000, 259.813035, 274.492977, 0.000000 
17, 875.000000, 263.997089, 274.263659, 0.000000 
18, 925.000000, 268.078907, 274.117293, 0.000000 
19, 975.000000, 272.083307, 274.058600, 0.000000 
0, 25.000000, 179.459311, 514.869805, 29.441778 
1, 75.000000, 185.034663, 387.850326, 29.441778 
2, 125.000000, 189.898834, 343.991735, 29.441778 
3, 175.000000, 194.559329, 320.130390, 29.441778 
4, 225.000000, 199.154156, 304.986126, 29.441778 
5, 275.000000, 203.803789, 294.715457, 29.441778 
6, 325.000000, 208.627270, 287.629199, 29.441778 
7, 375.000000, 213.748862, 282.884508, 29.441778 
8, 425.000000, 219.048325, 279.714208, 29.441778 
9, 475.000000, 225.534781, 278.988808, 29.441778 
10, 525.000000, 231.858501, 278.726016, 29.441778 
11, 575.000000, 237.762146, 278.489639, 29.441778 
12, 625.000000, 243.320242, 278.290406, 29.441778 
13, 675.000000, 248.395514, 277.916351, 29.441778 
14, 725.000000, 252.632912, 276.944889, 29.441778 
15, 775.000000, 256.490435, 275.866687, 29.441778 
16, 825.000000, 260.551423, 275.273085, 29.441778 
17, 875.000000, 264.531594, 274.818951, 29.441778 
18, 925.000000, 268.303412, 274.346855, 29.441778 
19, 975.000000, 272.113923, 274.089439, 29.441778 
0, 25.000000, 178.961930, 513.442815, 57.573048 
1, 75.000000, 185.038867, 387.859138, 57.573048 
2, 125.000000, 189.782315, 343.780668, 57.573048 
3, 175.000000, 194.128924, 319.422196, 57.573048 
4, 225.000000, 198.356185, 303.764107, 57.573048 
5, 275.000000, 202.702145, 293.122398, 57.573048 
6, 325.000000, 207.397767, 285.934114, 57.573048 
7, 375.000000, 212.672845, 281.460460, 57.573048 
8, 425.000000, 219.409130, 280.174939, 57.573048 
9, 475.000000, 225.967289, 279.523825, 57.573048 
10, 525.000000, 232.099891, 279.016201, 57.573048 
11, 575.000000, 237.892392, 278.642195, 57.573048 
12, 625.000000, 243.437519, 278.424539, 57.573048 
13, 675.000000, 248.547031, 278.085875, 57.573048 
14, 725.000000, 253.350087, 277.731081, 57.573048 
15, 775.000000, 257.963290, 277.450807, 57.573048 
16, 825.000000, 262.389505, 277.215023, 57.573048 
17, 875.000000, 266.598365, 276.966096, 57.573048 
18, 925.000000, 270.432421, 276.523820, 57.573048 
19, 975.000000, 273.780437, 275.768052, 57.573048 
0, 25.000000, 178.485342, 512.075482, 86.663704 
1, 75.000000, 185.037140, 387.855519, 86.663704 
2, 125.000000, 189.659014, 343.557315, 86.663704 
3, 175.000000, 193.689593, 318.699315, 86.663704 
4, 225.000000, 197.555390, 302.537764, 86.663704 
5, 275.000000, 201.620164, 291.557772, 86.663704 
6, 325.000000, 206.265222, 284.372703, 86.663704 
7, 375.000000, 212.792324, 281.618583, 86.663704 
8, 425.000000, 220.326660, 281.346581, 86.663704 
9, 475.000000, 227.163367, 281.003385, 86.663704 
10, 525.000000, 233.360174, 280.531236, 86.663704 
11, 575.000000, 239.169968, 280.138613, 86.663704 
12, 625.000000, 244.482256, 279.619425, 86.663704 
13, 675.000000, 249.219652, 278.838435, 86.663704 
14, 725.000000, 253.785872, 278.208803, 86.663704 
15, 775.000000, 258.225860, 277.733212, 86.663704 
16, 825.000000, 262.560753, 277.395946, 86.663704 
17, 875.000000, 266.783579, 277.158513, 86.663704 
18, 925.000000, 270.794968, 276.894533, 86.663704 
19, 975.000000, 274.628880, 276.622654, 86.663704 
0, 25.000000, 178.032908, 510.777446, 116.088173 
1, 75.000000, 185.023295, 387.826498, 116.088173 
2, 125.000000, 189.527050, 343.318269, 116.088173 
3, 175.000000, 193.248761, 317.973965, 116.088173 
