layer, player, Tlayer, theta, time
0, 25.000000, 180.000000, 516.421044, 0.000000 
1, 75.000000, 185.000000, 387.777669, 0.000000 
2, 125.000000, 190.000000, 344.174992, 0.000000 
3, 175.000000, 195.000000, 320.855475, 0.000000 
4, 225.000000, 200.000000, 306.281457, 0.000000 
5, 275.000000, 205.000000, 296.445266, 0.000000 
6, 325.000000, 210.000000, 289.521748, 0.000000 
7, 375.000000, 215.000000, 284.540318, 0.000000 
8, 425.000000, 220.000000, 280.929452, 0.000000 
9, 475.000000, 225.000000, 278.327278, 0.000000 
10, 525.000000, 230.419775, 276.996469, 0.000000 
11, 575.000000, 236.056515, 276.491841, 0.000000 
12, 625.000000, 241.389047, 276.081658, 0.000000 
13, 675.000000, 246.062057, 275.305572, 0.000000 
14, 725.000000, 251.090780, 275.254351, 0.000000 
15, 775.000000, 255.396866, 274.690505, 0.000000 
16, 825.000000, 259.813035, 274.492977, 0.000000 
17, 875.000000, 263.997089, 274.263659, 0.000000 
18, 925.000000, 268.078907, 274.117293, 0.000000 
19, 975.000000, 272.083307, 274.058600, 0.000000 
0, 25.000000, 179.391591, 514.675516, 29.022593 
1, 75.000000, 185.031877, 387.844487, 29.022593 
2, 125.000000, 189.899675, 343.993259, 29.022593 
3, 175.000000, 194.563660, 320.137516, 29.022593 
4, 225.000000, 199.163956, 305.001134, 29.022593 
5, 275.000000, 203.818917, 294.737333, 29.022593 
6, 325.000000, 208.646166, 287.655250, 29.022593 
7, 375.000000, 213.767541, 282.909228, 29.022593 
8, 425.000000, 219.068083, 279.739439, 29.022593 
9, 475.000000, 225.561510, 279.021872, 29.022593 
10, 525.000000, 231.882172, 278.754473, 29.022593 
11, 575.000000, 237.783254, 278.514363, 29.022593 
12, 625.000000, 243.339239, 278.312133, 29.022593 
13, 675.000000, 248.415600, 277.938824, 29.022593 
14, 725.000000, 252.660580, 276.975219, 29.022593 
15, 775.000000, 256.523356, 275.902095, 29.022593 
16, 825.000000, 260.587221, 275.310906, 29.022593 
17, 875.000000, 264.569906, 274.858752, 29.022593 
18, 925.000000, 268.343830, 274.388183, 29.022593 
19, 975.000000, 272.154336, 274.130146, 29.022593 
0, 25.000000, 178.834925, 513.078437, 56.806015 
1, 75.000000, 185.031367, 387.843417, 56.806015 
2, 125.000000, 189.783623, 343.783037, 56.806015 
3, 175.000000, 194.136741, 319.435059, 56.806015 
4, 225.000000, 198.373969, 303.791342, 56.806015 
5, 275.000000, 202.729602, 293.162102, 56.806015 
6, 325.000000, 207.432029, 285.981351, 56.806015 
7, 375.000000, 212.708312, 281.507399, 56.806015 
8, 425.000000, 219.460739, 280.240842, 56.806015 
9, 475.000000, 226.018702, 279.587423, 56.806015 
10, 525.000000, 232.150565, 279.077118, 56.806015 
11, 575.000000, 237.935370, 278.692535, 56.806015 
12, 625.000000, 243.489668, 278.484183, 56.806015 
13, 675.000000, 248.600429, 278.145619, 56.806015 
14, 725.000000, 253.404712, 277.790963, 56.806015 
15, 775.000000, 258.019110, 277.510844, 56.806015 
16, 825.000000, 262.447006, 277.275772, 56.806015 
17, 875.000000, 266.657792, 277.027834, 56.806015 
18, 925.000000, 270.495493, 276.588312, 56.806015 
19, 975.000000, 273.849411, 275.837527, 56.806015 
0, 25.000000, 178.302561, 511.551080, 85.526352 
1, 75.000000, 185.022416, 387.824655, 85.526352 
2, 125.000000, 189.660225, 343.559508, 85.526352 
3, 175.000000, 193.701013, 318.718106, 85.526352 
4, 225.000000, 197.581696, 302.578048, 85.526352 
5, 275.000000, 201.660799, 291.616532, 85.526352 
6, 325.000000, 206.317556, 284.444855, 85.526352 
7, 375.000000, 212.862342, 281.711249, 85.526352 
8, 425.000000, 220.396733, 281.436061, 85.526352 
9, 475.000000, 227.232785, 281.089255, 85.526352 
10, 525.000000, 233.429882, 280.615034, 85.526352 
11, 575.000000, 239.232934, 280.212366, 85.526352 
12, 625.000000, 244.556609, 279.704465, 85.526352 
13, 675.000000, 249.299811, 278.928120, 85.526352 
14, 725.000000, 253.869277, 278.300235, 85.526352 
15, 775.000000, 258.311413, 277.825229, 85.526352 
16, 825.000000, 262.647040, 277.487109, 85.526352 
17, 875.000000, 266.876737, 277.255294, 85.526352 
18, 925.000000, 270.892338, 276.994096, 85.526352 
19, 975.000000, 274.728368, 276.722864, 85.526352 
0, 25.000000, 177.798694, 510.105485, 114.583572 
1, 75.000000, 184.999468, 387.776553, 114.583572 
2, 125.000000, 189.527671, 343.319393, 114.583572 
3, 175.000000, 193.263719, 317.998576, 114.583572 
